PAT,LATITUDE*,LONGITUDE*
2517,"-3,8470100000","-38,5656200000"
1850,"-3,8263500000","-38,5594000000"
2706,"-3,7944000000","-38,5527000000"
2675,"-3,8513310000","-38,5515120000"
1842,"-3,7978000000","-38,5453000000"
2676,"-3,8105220000","-38,5438710000"
1957,"-3,8078000000","-38,5429000000"
2677,"-3,8133530000","-38,5411510000"
2109,"-3,9832000000","-38,5368000000"
2787,"-3,9562400000","-38,5342000000"
2326,"-3,8406100000","-38,5316000000"
2661,"-3,7967470000","-38,5314960000"
2515,"-3,7890000000","-38,5291000000"
1866,"-3,8301000000","-38,5280000000"
2644,"-3,8200000000","-38,5229000000"
2003,"-3,8243000000","-38,5225000000"
1874,"-3,8412000000","-38,5214000000"
1865,"-3,8220000000","-38,5199000000"
2002,"-3,8484410000","-38,5197810000"
1904,"-3,8167000000","-38,5179000000"
2701,"-3,8231900000","-38,5161600000"
1912,"-3,8183000000","-38,5123000000"
2708,"-3,8006000000","-38,5095000000"
1867,"-3,7802000000","-38,5085000000"
1921,"-3,8455000000","-38,5060000000"
1901,"-3,7746000000","-38,5057000000"
1897,"-3,8347000000","-38,5056000000"
1900,"-3,7724000000","-38,5020000000"
2686,"-3,8605670000","-38,5015520000"
4517,"-3,8782140000","-38,4949990000"
2700,"-3,8199050000","-38,4888140000"
2757,"-4,1031780000","-38,4845240000"
2696,"-3,8457000000","-38,4808000000"
1913,"-3,8154000000","-38,4784000000"
4411,"-4,0925000000","-38,4741670000"
2695,"-3,8499000000","-38,4719000000"
2544,"-4,1377100000","-38,4717600000"
2658,"-3,8331000000","-38,4658000000"
2659,"-3,8271520000","-38,4563220000"
4242,"-5,4610200000","-38,4491000000"
2393,"-3,9200000000","-38,3949000000"
3404,"-4,1366000000","-38,2472000000"
2404,"-4,1644000000","-38,1346000000"
3126,"-5,2467000000","-38,1237000000"
2422,"-4,9300600000","-37,9445000000"
3551,"-4,5541000000","-37,7650000000"
3376,"-4,5705300000","-37,7553000000"

